"year","nlease"
1936,38
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,50
1946,129
1947,330
1948,412
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,447
1955,648
1956,NA
1957,NA
1958,NA
1959,413
1960,493
1961,NA
1962,888
1963,NA
1964,868
1965,NA
1966,908
1967,914
1968,985
1969,1006
1970,1000
1971,1059
1972,1000
1973,1162
1974,1568
1975,1747
1976,1719
1977,1796
1978,1702
1979,1777
1980,1829
1981,2121
1982,2146
1983,3150
1984,3980
1985,4415
1986,4254
1987,4634
1988,5023
1989,5640
1990,6144
1991,6260
1992,5690
1993,5207
1994,5119
1995,5148
1996,5959
1997,7318
1998,8152
1999,7637
2000,7418
2001,7432
2002,7560
2003,7789
2004,8203
2005,8035
2006,7860
2007,6922
2008,7346
2009,6687
2010,6420
2011,5874
2012,5995
2013,5752
2014,5358
2015,4495
2016,3203
2017,2834
2018,2604
2019,2628
2020,2251
2021,2044
2022,2148
2023,2226
2024,2236
